title,overview,release_date,genres,popularity,vote_average,vote_count
I Came By,"A rebellious young graffiti artist, who targets the homes of the wealthy elite, discovers a shocking secret that leads him on a journey endangering himself and those closest to him.",2022-08-19,Thriller,17.998,6.3,557
Poetic Justice,"Still grieving after the murder of her boyfriend, hairdresser Justice writes poetry to deal with the pain of her loss. Unable to get to Oakland to attend a convention because of her broken-down car, Justice gets a lift with her friend, Iesha and Iesha's postal worker boyfriend, Chicago. Along for the ride is Chicago's co-worker, Lucky, to whom Justice grows close after some initial problems. But is she ready to open her heart again?",1993-07-23,"Drama, Romance",17.998,6.9,217
Pete's Dragon,"For years, old wood carver Mr. Meacham has delighted local children with his tales of the fierce dragon that resides deep in the woods of the Pacific Northwest. To his daughter, Grace, who works as a forest ranger, these stories are little more than tall tales... until she meets Pete, a mysterious 10-year-old with no family and no home who claims to live in the woods with a giant, green dragon named Elliott. And from Pete's descriptions, Elliott seems remarkably similar to the dragon from Mr. Meacham's stories. With the help of Natalie, an 11-year-old girl whose father Jack owns the local lumber mill, Grace sets out to determine where Pete came from, where he belongs, and the truth about this dragon.",2016-08-10,"Adventure, Family, Fantasy",17.997,6.4,2050
Dracula,"After Jonathan Harker attacks Dracula at his castle, the vampire travels to a nearby city, where he preys on the family of Harker's fiancée. The only one who may be able to protect them is Dr. van Helsing, Harker's friend and fellow-student of vampires, who is determined to destroy Dracula, whatever the cost.",1958-05-22,Horror,17.992,7.3,509
The She Beast,"A young woman is driving alongside a lake. She has an accident and the car plunges into the water. Her body is then possessed by the spirit of an 18th-century witch who was killed by local villagers, and is bent on avenging herself on them.",1966-05-02,"Thriller, Horror, Comedy",17.991,4.8,35
Morgan,A corporate risk-management consultant must determine whether or not to terminate an artificial being's life that was made in a laboratory environment.,2016-09-01,"Horror, Science Fiction, Thriller",17.988,5.8,1347
Bros,Two emotionally unavailable men attempt a relationship.,2022-09-30,"Comedy, Romance",17.98,6.9,390
Ma,"Sue Ann is a loner who keeps to herself in her quiet Ohio town. One day, she is asked by Maggie, a new teenager in town, to buy some booze for her and her friends, and Sue Ann sees the chance to make some unsuspecting, if younger, friends of her own.",2019-05-29,"Horror, Thriller",17.979,5.8,1999
Blue Story,"Blue Story is a tragic tale of a friendship between Timmy and Marco, two young boys from opposing postcodes. Timmy, a shy, smart, naive and timid young boy from Deptford, goes to school in Peckham where he strikes up a friendship with Marco, a charismatic, streetwise kid from the local area. Although from warring postcodes, the two quickly form a firm friendship until it is tested and they wind up on rival sides of a street war. Blue Story depicts elements of Rapman's own personal experiences and aspects of his childhood.",2019-11-22,"Crime, Drama, Romance",17.977,7.3,191
Love Actually,Eight London couples try to deal with their relationships in different ways. Their tryst with love makes them discover how complicated relationships can be.,2003-09-07,"Comedy, Romance, Drama",17.977,7.1,5983
Silverton Siege,"After a failed sabotage mission, a trio of anti-apartheid freedom fighters ends up in a tense bank hostage situation. Based on a true story.",2022-04-27,"Action, Crime, Drama",17.976,6.4,113
Sleeping Beauty,"A haunting erotic fairytale about Lucy, a young University student drawn into a mysterious hidden world of beauty and desire.",2011-06-10,"Drama, Romance",17.974,5.4,551
Mean Streets,"A small-time hood must choose from among love, friendship and the chance to rise within the mob.",1973-10-14,"Drama, Crime",17.974,7.1,1848
Krampus,"When his dysfunctional family clashes over the holidays, young Max is disillusioned and turns his back on Christmas.  Little does he know, this lack of festive spirit has unleashed the wrath of Krampus: a demonic force of ancient evil intent on punishing non-believers.",2015-11-26,"Horror, Comedy, Fantasy",17.971,6.1,1856
Curve,"Clinging to a smooth, curved surface high above a sentient abyss, a woman tries to cover the few feet back to safety without losing purchase and falling to her death.",2016-06-10,"Thriller, Horror",17.966,7.2,44
Honey 2,"After a brush with the law, Maria has returned to her gritty Bronx roots to rebuild her life with nothing but a talent for street dance and a burning ambition to prove herself.",2011-06-23,"Music, Comedy, Drama",17.963,6.3,374
Love the Coopers,"When four generations of the Cooper clan come together for their annual Christmas Eve celebration, a series of unexpected visitors and unlikely events turn the night upside down, leading them all toward a surprising rediscovery of family bonds and the spirit of the holiday.",2015-11-12,"Drama, Comedy, Family",17.957,6.0,714
Premium Rush,"In Manhattan, a bike messenger picks up an envelope that attracts the interest of a dirty cop, who pursues the cyclist throughout the city.",2012-08-24,"Crime, Action, Thriller",17.957,6.3,1924
Open Season 2,"After falling head over hooves in love with Giselle, Elliot's road to the altar takes a slight detour when Mr. Weenie is kidnapped by a group of pampered pets determined to return him to his owners.",2008-09-24,"Adventure, Animation, Comedy, Family",17.946,5.9,1089
7 Guardians of the Tomb,An innocent discovery of a well-preserved mummified Emperor from 200 BC China unearths a 2000 year old nightmare - a secret that should have remained buried.,2018-01-19,"Action, Adventure, Horror",17.942,5.5,182
Rock Star,"A wannabe rock star who fronts a Pennsylvania-based tribute band is devastated when his kick him out of the group he founded. Things begin to look up for Izzy when he is asked to join Steel Dragon, the heavy metal rockers he had been imitating for so long. This film is loosely based on the true story of the band Judas Priest.",2001-09-04,"Music, Drama, Comedy",17.942,6.7,656
Belle,"BELLE is inspired by the true story of Dido Elizabeth Belle, the illegitimate mixed race daughter of a Royal Navy Admiral. Raised by her aristocratic great-uncle Lord Mansfield and his wife, Belle's lineage affords her certain privileges, yet the color of her skin prevents her from fully participating in the traditions of her social standing. Left to wonder if she will ever find love, Belle falls for an idealistic young vicar's son bent on change who, with her help, shapes Lord Mansfield's role as Lord Chief Justice to end slavery in England",2013-05-01,Drama,17.941,7.2,633
Dragonheart 3: The Sorcerer's Curse,"When aspiring knight Gareth goes in search of a fallen comet rumored to contain gold, he is shocked to instead find the dragon Drago. After Drago saves Gareth's life the two become intricately bonded, and must work together to defeat an evil sorcerer and stop his reign of terror. Along the way, Gareth learns the true meaning of being a knight in this fantasy action-adventure for the ages.",2015-02-24,Fantasy,17.94,5.4,218
Duel,"Traveling businessman David Mann angers the driver of a rusty tanker while crossing the California desert. A simple trip turns deadly, as Mann struggles to stay on the road while the tanker plays cat and mouse with his life.",1971-11-13,"Action, Thriller, TV Movie",17.934,7.4,1622
"Everything, Everything","A teenager who's lived a sheltered life because she's allergic to everything, falls for the boy who moves in next door.",2017-05-18,"Drama, Romance",17.933,7.2,3564
I Still Believe,The true-life story of Christian music star Jeremy Camp and his journey of love and loss that looks to prove there is always hope.,2020-03-12,"Music, Drama, Romance",17.927,7.6,1077
Seven Brides for Seven Brothers,"In 1850 Oregon, when a backwoodsman brings a wife home to his farm, his six brothers decide that they want to get married too.",1954-07-22,"Comedy, Drama, Western",17.927,7.2,484
Fired Up!,Popular high schoolers and best friends Shawn and Nick decide to ditch football camp for cheerleader camp. For the girls and for the glory.,2009-02-20,Comedy,17.926,6.1,567
Superman/Batman: Apocalypse,"Batman discovers a mysterious teen-aged girl with superhuman powers and a connection to Superman. When the girl comes to the attention of Darkseid, the evil overlord of Apokolips, events take a decidedly dangerous turn.",2010-09-28,"Science Fiction, Action, Adventure, Animation, Family",17.924,7.2,618
